title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,new_location,new_continent
"M 6.9 - Kermadec Islands, New Zealand",6.9,04-03-2023 06:41,5,5,green,1,735,us,108,0.784,18.0,mww,205.681,-29.4748,-178.787,New Zealand,Oceania
"M 6.5 - 86 km WSW of Port-Olry, Vanuatu",6.5,02-03-2023 18:04,7,6,green,1,653,us,66,5.483,45.0,mww,10.0,-15.3597,166.385,Vanuatu,Oceania
"M 6.5 - 108 km NW of Kimbe, Papua New Guinea",6.5,01-03-2023 05:36,4,2,green,1,652,us,115,2.739,20.0,mww,598.925,-4.8138,149.487,Papua New Guinea,Oceania
"M 6.8 - 67 km W of Murghob, Tajikistan",6.8,23-02-2023 00:37,9,7,green,0,737,us,128,1.783,20.0,mww,20.522,38.0726,73.2077,Tajikistan,Asia
"M 7.5 - 4 km SSE of Ekinözü, Turkey",7.5,06-02-2023 10:24,9,9,orange,0,1411,us,135,0.85,17.0,mww,10.0,38.0235,37.203,Turkey,Europe
"M 6.7 - 18 km ESE of Nurdağı, Turkey",6.7,06-02-2023 01:28,9,8,yellow,0,800,us,108,0.218,44.0,mww,14.497,37.4135,36.8306,Turkey,Europe
M 7.8 - Central Turkey,7.8,06-02-2023 01:17,9,9,red,0,2910,us,118,1.919,32.0,mww,17.925,37.2012,36.9997,Turkey,Europe
M 6.8 - ,6.8,20-01-2023 22:09,4,3,green,0,718,us,60,5.129,61.0,mww,610.671,-26.7209,-63.0394,Argentina,South America
"M 7.0 - 153 km NW of Tobelo, Indonesia",7.0,18-01-2023 06:06,3,5,green,1,756,us,130,1.974,17.0,mwc,28.566,2.7401,127.051,Indonesia,Asia
"M 7.6 - Pulau Pulau Tanimbar, Indonesia",7.6,09-01-2023 17:47,5,7,green,0,957,us,114,1.575,21.0,mww,105.249,-7.0852,130.039,Indonesia,Asia
M 7.0 - Vanuatu,7.0,08-01-2023 12:32,8,7,green,1,768,us,116,6.096,36.0,mww,29.0,-14.9383,166.878,Vanuatu,Oceania
"M 6.8 - 109 km NE of Hihifo, Tonga",6.8,04-12-2022 19:24,5,5,green,1,720,us,152,2.587,26.0,mww,38.0,-15.3983,-172.968,Tonga,Oceania
"M 7.0 - 18 km SW of Malango, Solomon Islands",7.0,22-11-2022 02:03,8,7,green,1,768,us,117,0.509,17.0,mww,14.0,-9.7963,159.596,Solomon Islands,Oceania
"M 6.9 - 204 km SW of Bengkulu, Indonesia",6.9,18-11-2022 13:37,4,4,green,0,735,us,99,2.229,34.0,mww,25.0,-4.9559,100.738,Indonesia,Asia
M 7.0 - ,7.0,12-11-2022 07:09,3,3,green,1,755,us,147,3.125,18.0,mww,579.0,-20.0508,-178.346,Fiji,Oceania
"M 7.3 - 205 km ESE of Neiafu, Tonga",7.3,11-11-2022 10:48,5,5,green,1,833,us,149,1.865,21.0,mww,37.0,-19.2918,-172.129,Tonga,Oceania
M 6.6 - ,6.6,09-11-2022 10:14,0,2,green,1,670,us,131,4.998,27.0,mww,624.464,-25.5948,178.278,Unknown,Unknown
M 7.0 - south of the Fiji Islands,7.0,09-11-2022 09:51,4,3,green,1,755,us,142,4.578,26.0,mwb,660.0,-26.0442,178.381,Fiji,Oceania
M 6.8 - south of the Fiji Islands,6.8,09-11-2022 09:38,1,3,green,1,711,us,136,4.678,22.0,mww,630.379,-25.9678,178.363,Fiji,Oceania
"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,20-10-2022 11:57,7,6,green,1,797,us,145,1.151,37.0,mww,20.0,7.6712,-82.3396,Panama,North America
"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,22-09-2022 06:16,8,7,yellow,1,1179,us,175,2.137,92.0,mww,20.0,18.33,-102.913,Mexico,North America
"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,19-09-2022 18:05,9,8,yellow,1,1799,us,271,1.153,69.0,mww,26.943,18.3667,-103.252,Mexico,North America
"M 6.9 - 90 km E of Yujing, Taiwan",6.9,18-09-2022 06:44,9,9,yellow,1,887,us,215,0.401,34.0,mww,10.0,23.1444,121.307,Taiwan,Asia
"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,17-09-2022 13:41,7,7,green,1,756,us,178,0.43,54.0,mww,10.0,23.029,121.348,Taiwan,Asia
"M 7.0 - 209 km SSE of Isangel, Vanuatu",7.0,14-09-2022 11:04,7,5,green,1,761,us,192,2.977,45.0,mww,137.0,-21.2077,170.239,Vanuatu,Oceania
"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,10-09-2022 23:47,8,8,yellow,1,965,us,272,3.158,12.0,mww,116.0,-6.2237,146.471,Papua New Guinea,Oceania
"M 6.6 - 44 km SE of Kangding, China",6.6,05-09-2022 04:52,9,8,orange,0,1043,us,141,8.454,34.0,mww,12.0,29.7263,102.279,China,Asia
M 6.6 - south of the Kermadec Islands,6.6,14-08-2022 13:44,7,6,green,1,672,us,68,5.293,34.0,mww,30.0,-32.6922,-178.959,Unknown,Unknown
"M 7.0 - 11 km NE of Bantay, Philippines",7.0,27-07-2022 00:43,9,8,yellow,1,1351,us,152,5.276,22.0,mww,33.729,17.5978,120.809,Philippines,Asia
"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.5,08-06-2022 00:55,3,2,green,0,653,us,236,1.999,31.0,mww,622.73,-9.0618,-71.1647,Brazil,South America
"M 7.2 - 10 km W of Azángaro, Peru",7.2,26-05-2022 12:02,7,5,green,1,876,us,144,2.494,40.0,mww,236.0,-14.8628,-70.3081,Peru,South America
M 6.9 - ,6.9,19-05-2022 10:13,2,5,green,1,733,us,127,0.371,45.0,mww,10.0,-54.1325,159.027,Unknown,Unknown
"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,10-05-2022 23:06,6,5,green,1,762,us,162,1.505,30.0,mww,220.0,-23.6141,-66.7236,Argentina,South America
"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.6,21-04-2022 07:42,6,5,green,1,762,us,0,0.914,94.0,mww,27.0,11.5538,-86.9919,Nicaragua,North America
M 7.0 - southeast of the Loyalty Islands,7.0,31-03-2022 05:44,6,4,green,1,763,us,0,2.705,26.0,mww,10.0,-22.5732,170.349,Unknown,Unknown
"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.9,30-03-2022 20:56,6,4,green,1,738,us,0,2.697,42.0,mww,10.0,-22.72,170.277,New Caledonia,Oceania
"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,22-03-2022 17:41,8,7,green,1,806,us,0,0.289,32.0,mww,24.0,23.3421,121.636,Taiwan,Asia
"M 7.3 - 57 km ENE of Namie, Japan",7.3,16-03-2022 14:36,9,8,red,1,2397,us,0,2.936,29.0,mww,41.0,37.7015,141.587,Japan,Asia
"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,13-03-2022 21:09,9,6,green,0,708,us,0,2.188,43.0,mww,28.0,-0.6831,98.6034,Indonesia,Asia
"M 6.6 - Kermadec Islands, New Zealand",6.6,02-03-2022 12:52,2,7,green,1,670,us,0,0.827,46.0,mww,24.0,-30.0528,-177.74,New Zealand,Oceania
M 6.8 - south of the Fiji Islands,6.8,16-02-2022 20:21,2,3,green,1,712,us,0,5.78,12.0,mww,535.0,-23.7852,-179.968,Fiji,Oceania
"M 6.5 - 49 km NW of Barranca, Peru",6.5,03-02-2022 15:58,8,6,green,0,690,us,0,3.026,22.0,mww,110.0,-4.455,-76.9395,Peru,South America
M 6.5 - Kermadec Islands region,6.5,29-01-2022 02:46,7,4,green,1,651,us,0,1.088,57.0,mww,8.0,-29.535,-176.729,Unknown,Unknown
"M 6.6 - 80 km SW of Labuan, Indonesia",6.6,14-01-2022 09:05,8,6,green,0,785,us,0,2.418,22.0,mww,33.0,-6.9291,105.251,Indonesia,Asia
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,11-01-2022 12:39,0,3,Unknown,1,650,at,97,1.61607,108.0,Mi,37.0,52.502,-168.08,United States,North America
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,11-01-2022 12:39,0,3,Unknown,1,650,pt,23,0.0,208.8,Mi,37.0,52.502,-168.08,United States,North America
"M 6.6 - 53 km SE of Nikolski, Alaska",6.6,11-01-2022 12:39,8,5,green,1,674,us,0,0.507,49.0,mww,19.0,52.6252,-168.15,United States,North America
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,11-01-2022 11:35,0,4,Unknown,1,691,at,50,0.936943,126.0,Mi,33.0,52.48,-167.736,United States,North America
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,11-01-2022 11:35,0,4,Unknown,1,691,pt,20,0.0,205.2,Mi,33.0,52.48,-167.736,United States,North America
"M 6.8 - 100 km SE of Nikolski, Alaska",6.8,11-01-2022 11:35,7,6,green,1,730,us,0,0.92,61.0,mww,20.0,52.6563,-167.917,United States,North America
"M 6.6 - 48 km WNW of Pólis, Cyprus",6.6,11-01-2022 01:07,6,6,green,0,976,us,0,1.168,21.0,mww,21.0,35.1456,31.9095,Cyprus,Europe
"M 6.6 - northern Qinghai, China",6.6,07-01-2022 17:45,9,8,orange,0,1012,us,0,2.685,13.0,mww,13.0,37.8167,101.299,China,Asia
"M 7.3 - 125 km NNE of Lospalos, Timor Leste",7.3,29-12-2021 18:25,8,7,green,0,921,us,0,3.713,19.0,mww,165.49,-7.5924,127.581,Indonesia,Asia
M 7.3 - Flores Sea,7.3,14-12-2021 03:20,9,5,green,1,854,us,0,1.025,32.0,mww,14.27,-7.6033,122.2,Indonesia,Asia
"M 7.5 - 43 km NNW of Barranca, Peru",7.5,28-11-2021 10:52,8,8,yellow,1,1094,us,0,4.951,40.0,mww,126.0,-4.4898,-76.8461,Peru,South America
"M 6.6 - 177 km SE of Hirara, Japan",6.6,10-11-2021 15:45,7,4,green,1,688,us,0,3.259,15.0,mww,12.0,23.5414,126.48,Japan,Asia
"M 6.9 - 112 km E of Chignik, Alaska",6.9,11-10-2021 09:10,8,6,green,1,995,ak,0,0.0,0.0,mww,51.6,56.2581,-156.492,United States,North America
M 6.9 - Vanuatu region,6.9,09-10-2021 10:58,4,3,green,1,740,us,0,4.778,31.0,mww,535.0,-21.1704,174.54,Vanuatu,Oceania
M 7.3 - Vanuatu region,7.3,02-10-2021 06:29,4,4,green,1,826,us,0,4.493,32.0,mww,527.0,-21.1036,174.895,Vanuatu,Oceania
"M 6.5 - 80 km SW of Jiquilillo, Nicaragua",6.5,22-09-2021 09:57,7,5,green,1,684,us,0,0.993,114.0,mww,21.0,12.1598,-87.8542,Nicaragua,North America
"M 7.0 - Acapulco, Mexico",7.0,08-09-2021 01:47,8,8,red,1,2504,us,0,0.07,43.0,mww,20.0,16.9502,-99.7877,Mexico,North America
M 7.1 - South Sandwich Islands region,7.1,22-08-2021 21:33,1,4,green,1,776,us,0,9.799,32.0,mww,6.0,-60.3026,-24.9992,South Georgia,Antarctica
M 6.6 - South Sandwich Islands region,6.6,22-08-2021 00:45,1,3,green,1,670,us,0,8.865,19.0,mww,7.0,-60.1023,-24.4608,South Georgia,Antarctica
"M 6.9 - 17 km N of Port-Olry, Vanuatu",6.9,18-08-2021 10:10,8,7,green,1,741,us,0,0.579,54.0,mww,93.0,-14.892,167.085,Vanuatu,Oceania
M 6.9 - South Sandwich Islands region,6.9,16-08-2021 11:10,6,4,green,1,734,us,0,8.363,48.0,mww,16.7,-58.3814,-23.3318,South Georgia,Antarctica
"M 7.2 - Nippes, Haiti",7.2,14-08-2021 12:29,9,8,red,1,2331,us,0,1.178,23.0,mww,10.0,18.3521,-73.4804,Haiti,North America
"M 6.9 - 136 km SE of Perryville, Alaska",6.9,14-08-2021 11:57,5,4,green,1,738,ak,0,0.0,0.0,mww,33.3,55.2364,-157.707,United States,North America
"M 6.9 - 125 km SE of Perryville, Alaska",6.9,14-08-2021 11:57,5,4,green,1,738,us,0,1.173,36.0,mww,20.74,55.2657,-157.68,United States,North America
M 8.1 - South Sandwich Islands region,8.1,12-08-2021 18:35,0,7,green,0,1009,us,0,7.463,78.0,mww,22.79,-58.4157,-25.3206,South Georgia,Antarctica
M 7.5 - South Sandwich Islands region,7.5,12-08-2021 18:32,9,6,green,1,868,us,0,7.227,38.0,mww,47.23,-57.5959,-25.1874,South Georgia,Antarctica
"M 7.1 - 60 km ENE of Pondaguitan, Philippines",7.1,11-08-2021 17:46,9,7,green,1,846,us,0,1.273,25.0,mww,55.14,6.4547,126.742,Philippines,Asia
"M 8.2 - 91 km ESE of Perryville, Alaska",8.2,29-07-2021 06:15,8,6,green,1,1237,us,0,0.875,66.0,mww,46.66,55.4742,-157.917,United States,North America
"M 8.2 - 99 km SE of Perryville, Alaska",8.2,29-07-2021 06:15,8,7,yellow,1,1252,ak,0,0.0,0.0,mww,35.0,55.3154,-157.829,United States,North America
"M 6.7 - 15 km S of Hukay, Philippines",6.7,23-07-2021 20:48,8,5,green,1,935,us,0,8.139,12.0,mww,110.0,13.6989,120.713,Philippines,Asia
"M 6.7 - 71 km S of Burica, Panama",6.7,21-07-2021 21:15,6,6,green,1,830,us,0,1.395,61.0,mww,10.0,7.5904,-82.8813,Panama,North America
"M 6.5 - Kermadec Islands, New Zealand",6.5,20-06-2021 17:05,0,4,green,1,650,us,0,7.994,24.0,mww,25.0,-30.2144,-177.773,New Zealand,Oceania
"M 6.5 - 265 km SSE of Alo, Wallis and Futuna",6.5,21-05-2021 22:13,5,7,green,1,652,us,0,4.518,44.0,mww,10.0,-16.4796,-177.356,Wallis and Futuna,Oceania
"M 7.3 - Southern Qinghai, China",7.3,21-05-2021 18:04,9,9,orange,0,1025,us,0,4.655,9.0,mww,10.0,34.5861,98.2551,China,Asia
"M 6.7 - 260 km S of Sinabang, Indonesia",6.7,14-05-2021 06:33,8,4,green,0,698,us,0,1.487,37.0,mww,11.0,0.1684,96.6475,Indonesia,Asia
M 6.7 - Mauritius - Reunion region,6.7,12-05-2021 14:05,9,3,green,0,694,us,0,10.669,45.0,mww,10.0,-17.2495,66.3745,Mauritius,Africa
M 6.9 - ,6.9,01-05-2021 01:27,7,6,green,1,919,us,0,2.619,35.0,mww,43.0,38.2296,141.665,Japan,Asia
"M 6.5 - 207 km WSW of Haveluloto, Tonga",6.5,25-04-2021 22:28,4,4,green,0,651,us,0,5.931,20.0,mww,246.0,-21.6857,-177.064,Tonga,Oceania
"M 6.5 - 225 km WNW of Pangai, Tonga",6.5,24-04-2021 00:23,6,4,green,0,652,us,0,10.405,19.0,mww,301.0,-18.9204,-176.235,Tonga,Oceania
"M 7.0 - 30 km E of Ishinomaki, Japan",7.0,20-03-2021 09:09,7,7,yellow,1,1052,us,0,2.378,35.0,mww,43.0,38.4752,141.607,Japan,Asia
"M 6.6 - 171 km SSE of Ust’-Kamchatsk Staryy, Russia",6.6,16-03-2021 18:38,5,5,green,1,672,us,0,3.183,18.0,mww,13.23,54.7018,163.208,Russia,Europe
M 6.5 - Kermadec Islands region,6.5,04-03-2021 23:12,0,4,green,0,650,us,0,11.764,25.0,mwb,24.0,-28.4792,-176.619,Unknown,Unknown
"M 8.1 - Kermadec Islands, New Zealand",8.1,04-03-2021 19:28,9,8,green,1,1021,us,0,0.739,21.0,mww,28.93,-29.7466,-177.224,New Zealand,Oceania
"M 7.4 - Kermadec Islands, New Zealand",7.4,04-03-2021 17:41,3,7,green,1,843,us,0,0.437,30.0,mww,43.0,-29.6131,-177.842,New Zealand,Oceania
"M 7.3 - 182 km NE of Gisborne, New Zealand",7.3,04-03-2021 13:27,7,6,green,1,932,us,0,0.918,24.0,mww,10.0,-37.596,179.544,New Zealand,Oceania
"M 7.1 - 73 km ENE of Namie, Japan",7.1,13-02-2021 14:07,9,8,orange,1,1612,us,0,3.085,11.0,mww,43.98,37.6856,141.992,Japan,Asia
M 7.7 - southeast of the Loyalty Islands,7.7,10-02-2021 13:19,9,4,green,1,918,us,0,7.989,15.0,mww,10.0,-23.2787,171.489,Unknown,Unknown
M 6.9 - South Shetland Islands,6.9,23-01-2021 23:36,9,5,green,1,739,us,0,1.55,16.0,mww,15.0,-61.8484,-55.559,Antarctica,Antarctica
"M 7.0 - 211 km SE of Pondaguitan, Philippines",7.0,21-01-2021 12:23,7,5,green,1,802,us,0,2.821,15.0,mww,80.0,5.0074,127.517,Philippines,Asia
"M 6.7 - 29 km SSW of Turt, Mongolia",6.7,11-01-2021 21:32,8,8,green,0,776,us,0,2.043,22.0,mww,10.0,51.2407,100.443,Mongolia,Asia
"M 6.7 - 146 km WNW of Corral, Chile",6.7,27-12-2020 21:39,5,5,green,1,776,us,0,1.319,19.0,mww,10.0,-39.3264,-74.9067,Chile,South America
"M 7.0 - 13 km NNE of Néon Karlovásion, Greece",7.0,30-10-2020 11:51,8,7,orange,0,1527,us,0,1.518,18.0,mww,21.0,37.8973,26.7953,Greece,Europe
"M 7.6 - 99 km SE of Sand Point, Alaska",7.6,19-10-2020 20:54,9,7,yellow,1,1165,us,0,0.23,36.0,mww,28.37,54.662,-159.675,United States,North America
M 6.9 - central Mid-Atlantic Ridge,6.9,18-09-2020 21:43,0,3,green,1,732,us,0,11.255,16.0,mww,10.0,0.9604,-26.8332,Unknown,Unknown
"M 6.5 - 94 km NW of Vallenar, Chile",6.5,01-09-2020 21:09,6,6,green,0,674,us,0,0.388,49.0,mww,16.0,-27.9285,-71.3937,Chile,South America
"M 6.8 - 86 km NW of Vallenar, Chile",6.8,01-09-2020 04:09,6,7,green,1,824,us,0,0.312,69.0,mww,21.0,-28.013,-71.1958,Chile,South America
M 6.5 - central Mid-Atlantic Ridge,6.5,30-08-2020 21:20,4,5,green,0,651,us,0,15.394,31.0,mww,10.0,0.8696,-29.7046,Unknown,Unknown
"M 6.9 - 222 km SSE of Katabu, Indonesia",6.9,21-08-2020 04:09,4,3,green,0,749,us,0,2.267,20.0,mww,624.0,-6.6704,123.493,Indonesia,Asia
"M 6.9 - 122 km WSW of Bengkulu, Indonesia",6.9,18-08-2020 22:29,4,4,green,0,735,us,0,1.716,25.0,mww,26.0,-4.2791,101.215,Indonesia,Asia
"M 6.8 - 138 km WSW of Bengkulu, Indonesia",6.8,18-08-2020 22:23,5,4,green,0,716,us,0,1.816,34.0,mww,22.0,-4.3724,101.095,Indonesia,Asia
"M 6.6 - 13 km E of San Pedro, Philippines",6.6,18-08-2020 00:03,9,8,yellow,1,784,us,0,5.128,14.0,mww,10.0,12.0065,124.13,Philippines,Asia
"M 7.8 - 99 km SSE of Perryville, Alaska",7.8,22-07-2020 06:12,9,7,green,1,1111,us,0,0.621,60.0,mww,28.0,55.1079,-158.477,United States,North America
"M 7.0 - 114 km NNW of Popondetta, Papua New Guinea",7.0,17-07-2020 02:50,6,7,green,1,820,us,0,1.671,18.0,mww,73.0,-7.847,147.755,Papua New Guinea,Oceania
"M 6.6 - 97 km N of Batang, Indonesia",6.6,06-07-2020 22:54,4,2,green,0,684,us,0,1.458,14.0,mww,533.76,-5.6368,110.678,Indonesia,Asia
"M 7.4 - 9 km SE of Santa María Xadani, Mexico",7.4,23-06-2020 15:29,8,8,orange,1,1494,us,0,0.151,30.0,mww,20.0,15.9163,-95.9533,Mexico,North America
M 7.4 - south of the Kermadec Islands,7.4,18-06-2020 12:49,7,7,green,1,873,us,0,4.035,23.0,mww,10.0,-33.2938,-177.838,Unknown,Unknown
"M 6.6 - 130 km WNW of Naze, Japan",6.6,13-06-2020 15:51,5,4,green,1,734,us,0,2.015,18.0,mww,165.0,28.9386,128.262,Japan,Asia
"M 6.8 - 48 km SW of San Pedro de Atacama, Chile",6.8,03-06-2020 07:35,6,6,green,1,835,us,0,1.164,21.0,mww,112.0,-23.2966,-68.4204,Chile,South America
"M 6.5 - Monte Cristo Range, NV Earthquake",6.5,15-05-2020 11:03,7,8,green,0,1320,nn,27,0.357,55.79,ml,2.7,38.1689,-117.85,United States,North America
"M 6.6 - 175 km SSE of Lata, Solomon Islands",6.6,12-05-2020 22:41,4,6,green,1,671,us,0,3.403,12.0,mww,107.0,-12.0662,166.648,Solomon Islands,Oceania
M 6.8 - Banda Sea,6.8,06-05-2020 13:53,4,6,green,0,738,us,0,1.921,16.0,mww,96.0,-6.7762,129.785,Indonesia,Asia
"M 6.5 - 91 km S of Néa Anatolí, Greece",6.5,02-05-2020 12:51,7,6,green,0,678,us,0,1.293,19.0,mww,10.0,34.1818,25.7101,Greece,Europe
"M 6.5 - Stanley, Idaho",6.5,31-03-2020 23:52,8,8,green,0,1410,us,0,0.885,31.0,mww,12.06,44.4646,-115.118,United States,North America
"M 7.5 - 221 km SSE of Severo-Kuril’sk, Russia",7.5,25-03-2020 02:49,6,5,green,1,879,us,0,4.109,12.0,mww,57.8,48.9638,157.695,Russia,Europe
"M 7.0 - 95 km ENE of Kuril’sk, Russia",7.0,13-02-2020 10:33,5,6,yellow,1,770,us,0,4.501,25.0,mww,143.0,45.6161,148.959,Russia,Europe
"M 7.7 - 123 km NNW of Lucea, Jamaica",7.7,28-01-2020 19:10,9,6,yellow,1,1812,us,0,1.657,26.0,mww,14.86,19.4193,-78.756,Jamaica,North America
"M 6.7 - 13 km N of Do?anyol, Turkey",6.7,24-01-2020 17:55,8,9,orange,0,1247,us,0,0.87,49.0,mww,10.0,38.4312,39.0609,Turkey,Europe
"M 6.8 - 7 km S of Magsaysay, Philippines",6.8,15-12-2019 06:11,9,7,yellow,1,825,us,0,0.546,39.0,mww,18.0,6.6969,125.174,Philippines,Asia
"M 7.1 - 138km E of Bitung, Indonesia",7.1,14-11-2019 16:17,6,6,green,1,799,us,0,1.271,11.0,mww,33.0,1.6213,126.416,Indonesia,Asia
"M 6.5 - 166km SSW of Ndoi Island, Fiji",6.5,08-11-2019 10:44,0,2,green,0,650,us,0,4.765,25.0,mww,577.0,-21.9449,-179.511,Fiji,Oceania
"M 6.6 - 136 km W of Neiafu, Tonga",6.6,04-11-2019 22:43,4,4,green,1,673,us,0,5.086,48.0,mww,10.0,-18.5747,-175.272,Tonga,Oceania
"M 6.5 - 2km ESE of Kisante, Philippines",6.5,31-10-2019 01:11,9,7,green,1,733,us,0,0.428,19.0,mww,10.0,6.9098,125.178,Philippines,Asia
"M 6.6 - 10 km NE of Columbio, Philippines",6.6,29-10-2019 01:04,9,7,yellow,1,780,us,0,0.646,24.0,mww,15.0,6.7567,125.008,Philippines,Asia
"M 6.7 - 70 km WSW of Constitución, Chile",6.7,29-09-2019 15:57,7,6,green,1,844,us,0,1.269,98.0,mww,11.0,-35.4758,-73.163,Chile,South America
"M 6.5 - 11km S of Kairatu, Indonesia",6.5,25-09-2019 23:46,7,7,yellow,1,656,us,0,3.909,15.0,mww,12.26,-3.4528,128.37,Indonesia,Asia
"M 6.6 - 34km NNE of Ndoi Island, Fiji",6.6,01-09-2019 15:54,2,3,Unknown,1,671,us,0,4.121,19.0,mww,591.0,-20.3641,-178.57,Fiji,Oceania
"M 6.6 - 131km S of Bristol Island, South Sandwich Islands",6.6,27-08-2019 23:55,0,4,green,1,670,us,0,12.896,19.0,mww,16.0,-60.2152,-26.5801,South Georgia,Antarctica
"M 6.9 - 152 km SW of Labuan, Indonesia",6.9,02-08-2019 12:03,4,6,green,0,875,us,0,2.839,23.0,mww,49.0,-7.2822,104.791,Indonesia,Asia
"M 6.8 - 96 km SW of San Antonio, Chile",6.8,01-08-2019 18:28,6,6,green,1,947,us,0,0.817,35.0,mww,25.0,-34.2364,-72.3102,Chile,South America
"M 6.6 - 62km E of Lakatoro, Vanuatu",6.6,31-07-2019 15:02,0,4,green,1,670,us,0,6.024,30.0,mww,181.0,-16.1985,167.998,Vanuatu,Oceania
